query	expect_answer	is_exact	answer	_from
丛林越野车的游戏目标	驾驶越野车穿过重重障碍	0	丛林越野车_百度百科	
体育锻炼与欣赏的作者	黄迎乒、张振东	1	张振东、黄迎乒	来自百度百科
企业级防火墙的中文名	企业级防火墙	0	企业级防火墙排名排行榜 - 京东	
临沂师范学院信息学院的教授	8人	0	临沂师范学院信息学院_百度百科	
人生不止如初见的连载网站	晋江文学城	0	人生不止如初见最新章节_人生不止如初见(河边枯草)小说全文阅读无...	
五丰铺檀江的河伯岭海拔	1455米	0	五丰铺檀江_百度百科	
东北乡村菜（沿海赛洛城西）的人均价格	46	0	东北乡村菜（沿海赛洛城西）_百度百科	
九帝皇脉的连载网站	起点中文网	0	帝乱-第一章 皇脉继承者-爱阅小说网	
中国信用卡产业研究与犯罪规制的定价	40.00元	0	中国信用卡产业研究与犯罪规制_百度百科	
何东平（武汉工业学院教授）的出生日期	1957年12月	0	何东平_百度百科	
便携式红外二氧化碳CO2分析仪的重复性	≤±2%FS	0	便携式红外线CO/CO2分析仪	
乐园里的地址	南开密云路与芥园道交口	0	乐园里_百度百科	
乡村风流：印象乡村的作者	吕则天	1	吕则天	来自百度百科
丢婆山的连载网站	17k小说网	0	丢婆山_百度百科	
佳能CRG 323C的产品颜色	：青色	0	【佳能CRG 323配置】佳能CRG 323产品颜色硒鼓配置-ZOL中关村在线	
东莞美食网的网站类型	美食网站	0	找东莞市的美食网站或相关公司的网址_百度知道	
使用手动工具的零件加工的副标题	使用手动工具的零件加工	0	使用手动工具的零件加工 (豆瓣)	
傲剑无痕的连载网站	起点中文网	0	傲剑无痕的个人空间 - 哔哩哔哩 ( ゜- ゜)つロ 乾杯~ Bilibili	
佛山市医学会的成立于	1963年	1	1963年	来自百度百科
中国古建筑分类图说的出版时间	2005-6	1	2005年6月	来自百度百科
中国城乡统筹发展报告2011的作者	程志强	1	程志强	来自百度百科
人力资源管理效益的适用	企业	0	人力资源管理效益_百度百科	
企业家声誉机制的领域	经济	0	企业家声誉机制_百度百科	
中国国际文化旅游节的开幕式地点	张家界市黄龙洞景区	0	中国国际文化旅游节_百度百科	
倚轩楼的连载网站	起点中文网	0	倚轩楼_百度百科	
倾听鲸语的书名	倾听鲸语	0	倾听鲸语_百度百科	
佛罗里达大酒店的周围景观	维森斯之家、圣十字圣保罗医院、古埃尔公园、圣心圣殿、佩德拉尔贝斯购物中心、米拉之家、巴塞罗那足球俱乐部博物馆、高迪纪念博物馆、诺坎普球场、格拉西亚、迪比达波游乐园	0	佛罗里达大酒店的周围景观_百度图片	
于杰（广西师范学院讲师）的国籍	中国	0	于杰_百度百科	
中英人寿的公司性质	中外合资	0	中英人寿 - 公司简介-	
伦敦城足球俱乐部的联赛级别	加拿超	0	伦敦城足球俱乐部_百度百科	
中国易学博览：新编实用万年历的装帧	平装	0	中国易学博览：新编实用万年历_百度百科	
云峰学府花园的开发商	广州市宏峰房地产开发有限公司	1	广州市宏峰房地产开发有限公司	来自百度百科
五魂珠的作者	唐弦语	1	唐弦语	来自百度百科
云南机务钞黄的四库提要	富平人、紞字季昭	0	云南机务钞黄_百度百科	
人体摄影艺术教程：摄影大师杰作探秘的页数	432页	1	432页	来自百度百科
中国文学史资料全编：两个口号论争资料选编的开本	16	0	中国现代文学史的名词:“两个口号”论争_自考365	
中级法语教程（下册）的页数	246	1	246页	来自百度百科
乡村惊鸿的小说进度	连载	0	乡村惊鸿_百度百科	
仲肖的职业	演员	1	演员	来自百度百科
