query	expect_answer	is_exact	answer	_from
似雨·锦青的小说进度	连载	0	似雨·锦青_百度百科	
中国贫困群体调查的出版社	东方出版社	0	【图书】中国贫困群体调查_百度学术	
今晚新时空的中文名	今晚新时空	0	今晚新时空_百度百科	
保加利亚通讯社的国别	保加利亚	1	保加利亚	来自百度百科
众神战场的中文名	众神战场	0	诸神的战场_百度百科	
从弃妃到皇后：铿锵红颜的中文名	从弃妃到皇后:铿锵红颜	0	从弃妃到皇后:铿锵红颜(全文),从弃妃到皇后结局,作者白狐闹闹...	
乾隆湖的得名由来	乾隆帝驻足过的地方	0	乾隆湖_百度百科	
么么的海的地区	杭州市	0	海_百度百科	
修翔凤的性别	男	1	男	来自百度百科
乌龙活宝闯江湖的中文名	乌龙活宝闯江湖	0	乌龙活宝闯江湖_百度百科	
健腐肉的是否含防腐剂	否	0	健腐肉_百度百科	
何子云的民族	汉族	1	汉族	来自百度百科
五道营胡同的类型	商业街	0	五道营胡同_百度百科	
作文妙计：高考个性化作文揭秘的书名	作文妙计：高考个性化作文揭秘	0	作文妙计:高考个性化作文揭秘图册_百度百科	
东京的花染红巴黎的天的中文名	东京的花染红巴黎的天	0	东京的花染红巴黎的天_百度百科	
体操公主的类型	剧情/体育	0	体操公主第一季_百度百科	
中西医结合诊疗黄竭斑的书名	中西医结合诊疗黄竭斑	0	中西医结合诊疗黄竭斑_百度百科	
井沟村（山西省晋中市左权县辽阳镇下辖村）的面积	38700平米	0	井沟村_百度百科	
亚历山大旅馆的酒店地址	1750 Amherst, H2L 3L6 蒙特利尔	0	亚历山大旅馆_百度百科	
东方玉华台大酒楼的公司名称	东方玉华台大酒楼	0	东方玉华台大酒楼_百度百科	
仲华利的毕业院校	南京中医药大学	1	南京中医药大学	来自百度百科
中朝边境的中文名	中朝边境	0	人民网—记者走访中朝边境(深入现场)	
丹尼斯·耶尔马兹的出生日期	1988-02-26	1	1988年2月26日(双鱼座)	来自百度百科
何辉（原洛阳炮兵学校副校长）的国籍	中国	0	何辉_百度百科	
中文版FLASH CS3动画制作宝典的书名	中文版FLASH CS3动画制作宝典	0	flash cs3游戏-Flash文档类资源-CSDN下载	
于仲安（天津市工业泵总厂高级统计师）的国籍	中国	0	于仲安_百度百科	
倾云的中文名	倾云	0	倾云_百度百科	
何晔晖的职业	官员	0	欢迎访问湖南软件职业学院官网	
伊威的中文名	伊威	0	英文名Iwi[伊威]的意思、性别含义寓意及印象是什么 - 英文名...	
信长之野望13：天道威力加强版的其他名称	信长之野望13：天道PK版	1	信长之野望13：天道PK版	来自百度百科
东直门内北小街16号院的绿化率	20%	1	20%	来自百度百科
乌鱼刺的是否处方药	非处方药	0	乌鱼刺_百度百科	
买五哥的中文名	买五哥	0	买五哥_百度百科	
俄瑞斯忒斯阿考斯特机场的跑道长度	1860米	1	1860米	来自百度百科
