query	expect_answer	is_exact	answer	_from
保安技师的中文名	保安技师	0	保安技师_百度百科	
伟大的阿佛洛狄特的类型	喜剧	0	阿佛洛狄特的巨大魅力_百度学术	
九年级世界历史（下人教版）的页数	176	1	176页	来自百度百科
余杭11蚕的来源地	浙江省余杭县	0	余杭11蚕_百度百科	
你是我的传说的制片地区	中国内地	0	你是我的传说 (豆瓣)	
伊里野的天空的地区	日本	0	伊里野的天空全集在线观看 - 伊里野的天空高清漫画 - 乐看网	
东风（十堰）气缸垫有限公司的成立时间	1978年	1	1978年	来自百度百科
丙级烘焙检定保证班的出版社	積木	0	丙级烘焙检定保证班_百度百科	
九刹幽魂的连载网站	起点中文网	0	九刹幽魂-第一章:激战-爱阅小说网	
休恋夜色part1的小说进度	连载	0	休恋夜色part1_百度百科	
京酱肉丝卷饼的分类	小吃	0	京酱肉丝卷饼的分类_视频大全_高清在线观看	
乐高城市的最新版本	2.0	0	乐高:我的城市2下载_最新版_攻略_安卓版_九游就要你好玩	
他乡之石的作者	斯芳	0	我是一兵-他乡之石作品大全	
中国科技论文的国际刊号	10-1033/N	1	10-1033/N	来自百度百科
世界车王争霸赛绿色版的最新版本	v1.0.7	0	世界车王争霸赛绿色版_百度百科	
乾安县地方税务局的公司名称	乾安县地方税务局	0	乾安县地方税务局_百度百科	
人头鼓的制片地区	泰国	0	人头鼓_百度百科	
今世的出处	《说文》	1	说文	来自百度百科
亚都SC-4320的中文名	亚都SC-4320	0	亚都SC-4320_百度百科	
云里娜曲奇饼干的分类	饼干	0	云里娜曲奇饼干_百度百科	
乌龙骑士团的中文名	乌龙骑士团	0	乌龙骑士团_百度百科	
依附论的适用领域范围	发展中国家与发达国家	0	依附论_百度百科	
临汾市职业安全卫生检测检验站的成立时间	1990年6月	1	1990年6月	来自百度百科
位面小贩的小说进度	连载	0	两界小贩-第063章 千牛佣兵团-爱阅小说网	
倾世红颜：美男缠身的中文名	倾世红颜:美男缠身	0	倾世红颜：美男缠身_百度百科	
乾坤古灵阵的中文名	乾坤古灵阵	0	乾坤古灵阵_百度百科	
俭坪乡的面积	82多平方公里	1	82平方千米	来自百度百科
五百坦烈士纪念碑的建筑面积	3.5㎡	1	3.5平方米	来自百度百科
仓下社区的人口	7300多人	1	7300多人	来自百度百科
中国舰船研究设计中心的前身	<a>武汉船舶设计研究所</a>	1	武汉船舶设计研究所	来自百度百科
余斌（铜陵市审计局副局长）的出生日期	1976年12月	0	余斌_百度百科	
丽讯D85ESTA的投影尺寸	37.3-373英寸	1	37.3-373英寸	来自百度百科
中国民主促进会静安区委员会的公司名称	中国民主促进会静安区委员会	0	中国民主促进会静安区委员会_百度百科	
五水硫酸亚铁的中文名	五水硫酸亚铁	0	五水硫酸亚铁_百度百科	
中国电力工业与可持续发展的出版社	中国电力出版社	0	中国电力工业与可持续发展 (豆瓣)	
中孚PCI-E隔离卡的生产厂家	山东中孚信息产业股份有限公司	0	中孚PCI-E隔离卡_百度百科	
伪小白的霸道受的连载网站	17k小说网	0	伪小白的霸道受_百度百科	
中华人民共和国驻格鲁吉亚大使馆的方面	经济、政治、文化	0	中华人民共和国驻格鲁吉亚大使馆	
东阿县顾官屯中学的建筑面积	9122平方米	1	9122平方米	来自百度百科
九棵树（公交站点）的主题	原创音乐更多更丰富的展示平台	0	九棵树_百度百科	
中铁第五勘察设计院集团有限公司的中文名	中铁第五勘察设计院集团有限公司	0	中铁第五勘察设计院集团有限公司	
人未幸福就老了的中文名	人未幸福就老了	0	《人未幸福就老了》峰言峰语电子书txt全集下载_百度知道	
休宁县科兴名优茶厂的总部地点	黄山市休宁县	1	黄山市休宁县	来自百度百科
中国汽车直线公开赛的比赛地点	北京延庆八达岭机场赛道	0	中国汽车直线公开赛_百度百科	
九色鹿杯编织人生编织大赛作品集的作者	<a>编织人生</a>	0	九色鹿杯编织人生编织大赛作品集_百度百科	
亿万老公是我的的中文名	亿万老公是我的	0	亿万老公是我的燃文,亿万老公是我的最新章节,亿万老公是我的全文...	
两个男孩的倏忽童话的中文名	两个男孩的倏忽童话	0	两个男孩的倏忽童话_童话吧_百度贴吧	
中国古代戏曲小说史略的定价	38.00元	0	中国古代戏曲小说史略 (豆瓣)	
中国广播艺术团的成立于	1953年	1	1953年	来自百度百科
东北石油大学计算机与信息技术学院的教职工	126	0	东北石油大学计算机与信息技术学院_百度百科	
中国汽车史话的尺寸	20.4 x 14.3 x 1 cm	0	中国汽车史话_百度学术	
中小企业管理研究的ISBN	10位[7801989791]13位[9787801989796]	0	中小企业管理研究_百度百科	
交换温柔（韩国同名电影）的类型	剧情、伦理	0	交换温柔_百度百科	
中间系统的技术原理	PLC控制四组冷却水梁的冷却水量	0	中间系统_百度百科	
中人版2012年党政领导干部公开选拔教材·申论与写作的书名	中人版－2012党政领导干部公开选拔和竞争上岗考试 申论与写作	0	中人版2012党政领导干部公开选拔专用教材申论与写作_百度百科	
世界经典文学名著宝库:三十六计的页数	143	1	143页	来自百度百科
佳能BJC S600的墨盒型号	墨水盒BCI--3eBK	0	佳能BJC S600_百度百科	
修力乾坤的作者	娑婆诃	1	娑婆诃	来自百度百科
中国大豆研发体系的分析与大豆育种的经济评价的出版社	中国农业出版社	0	中国大豆研发体系的分析与大豆育种的经济评价_百度百科	
亨廷顿（美国地理学家）的中文名	伊斯沃思·亨廷顿	0	亨廷顿_百度百科	
五大拨村的气候条件	年平均气温19℃	1	年平均气温19℃	来自百度百科
