query	expect_answer	is_exact	answer	_from
乐得花园的物业公司	广州市江信物业管理有限公司	1	广州市江信物业管理有限公司	来自百度百科
信息技术服务的中文名	信息技术服务	0	GB_T 29264-2012_信息技术服务 分类与代码_百度文库	
会变大的图形的游戏大小	1548.23KB	1	1548.23KB	来自百度百科
侯修圃的出生日期	1940年6月	0	侯修圃_百度百科	
何顺服的民族	汉族	1	汉族	来自百度百科
俞伟超先生纪念文集：学术卷的开本	16开	0	俞伟超先生纪念文集:学术卷 txt免费下载_读后感_在线阅读..._读书人	
傅翔（国民革命军少将）的出生日期	1906年	0	傅翔_百度百科	
东陇中学的校训	创特色、保稳定、育新人、求发展	1	保稳定、求发展、育新人、创特色	来自百度百科
井上屋的人均价格	116	0	【井上屋日本料理(金桥店)】电话,地址,价格,营业时间(图) - 上海...	
中国建筑·传统与新统的作者	吴焕加	1	吴焕加	来自百度百科
亲爱的那个谁的中文名	亲爱的那个谁	0	亲爱的那个谁谁谁。。 - 内涵段子 - 侠外游戏论坛 - 全球中文游戏...	
中国第一圣的中文名	中国第一圣	0	黄帝圣的中文名正确写法【喜剧大联盟吧】_百度贴吧	
傀儡法师的小说进度	连载	0	这个法师有点彪-第九十二章 骑士傀儡-爱阅小说网	
中国特征建设的页数	133	1	133页	来自百度百科
云雯天的性别	男	1	男	来自百度百科
世说新语全书的丛书	国学新读大讲堂	0	世说新语全书 (豆瓣)	
乐武站的站址	<a>四川省</a><a>喜德</a>县<a>乐武乡</a>	0	乐武站_百度百科	
乱世定江山的小说进度	连载	0	乱世定江山小说最新章节_(楚云湘雨)作品- 畅阅小说网	
中山美浔胶粘制品有限公司的经营范围	精密电子应用材料、各种黏性胶带	0	中山美浔胶粘制品有限公司_百度百科	
丘利的国籍	西班牙	1	西班牙	来自百度百科
传感器技术及应用（姚锡禄著教学用书）的ISBN	978-7-113-14037-3	0	传感器技术及应用_百度百科	
丘比特遗失的水晶鞋的中文名	丘比特遗失的水晶鞋	0	丘比特遗失的水晶鞋最新章节列表_丘比特遗失的水晶鞋最新章..._百田	
位面门的作者	涳格试、嶶笶	0	我的位面之门 碧蓝的世界 优书网	
人的发展问题研究的页数	284	1	284页	来自百度百科
于建明（书画艺术家）的职业	艺术家、书画家	0	于建明(书画艺术家)_百度百科	
何霞书画辑的作者	刘晓林	1	刘晓林	来自百度百科
伍珀塔尔大学的建校年代	1972年	0	德国伍珀塔尔大学 - 网站百科	
乌拉那拉·纯元的妹妹	乌拉那拉.宜修	0	乌拉那拉·纯元_百度百科	
余雪岩的民族	汉	1	汉族	来自百度百科
中国脱硫设备网的地位	国内最大的电子商务营销平台之一	0	中国脱硫设备网_百度百科	
亚太科技的公司名称	亚太科技	0	亚太科技有限公司 - 首页	
中国古代成语故事的出版社	北京大学出版社	1	北京大学出版社	来自百度百科
修魔炼兵的作者	梦晨落	0	修魔炼兵_百度百科	
二十一世纪神秘事件集的作者	ken骨头	1	ken	来自百度百科
伊河豚的科	海豚科	0	伊河豚	
京华大旅社的中文名	京华大旅社	0	京华大旅社_百度百科	
乱斗英雄的游戏类型	休闲	1	休闲类	来自百度百科
云兴镇的行政区类别	镇	0	云兴镇行政区划代码 - 140226100000是哪里的行政区划代码	
优游度日的书名	优游度日	0	优游度日_百度百科	
中西语言诗学：基本问题比较研究的平装	505页	0	中西语言诗学：基本问题比较研究_百度百科	
中学教材全解:八年级思想品德(下)的出版社	陕西人民教育出版社	0	中学教材全解：八年级思想品德（下）_百度百科	
似真似虚梦幻路的连载网站	起点中文网	0	似真似虚梦幻路_百度百科	
伊农戈的中文名	伊农戈	0	伊农戈_百度百科	
临床信息系统的2	收集和处理病人的临床医疗信息	0	临床信息系统_百度百科	
中文版CorelDRAW图形设计经典实录228例的出版时间	2010年4月1日	1	2010年4月1日	来自百度百科
假释制度的依据	我国刑法第81条第1款	0	假释制度_百度百科	
九曲景区的全长	约9.5公里	1	约9.5公里	来自百度百科
偃师市农村信用联社的服务类型	提供金融服务	0	偃师市农村信用联社_百度百科	
中考英语三轮复习·21天攻克中考短语句型的页数	203	1	203页	来自百度百科
乌不企丹参炖海参的主要食材	海参、丹参、乌不企	0	乌不企丹参炖海参_百度百科	
为了你；为了爱；我选择离开！的作者	心碎背后爱你	0	为了你；为了爱；我选择离开！_百度百科	
于孔兼的主要成就	东林党成员	0	于孔兼_百度百科	
佛山市凌远医疗科技有限公司的总部地点	佛山市	1	佛山市	来自百度百科
中国汽车工业协会的中文名	中国汽车工业协会	0	中国汽车工业协会	
两千年前的阴谋的作者	曹墨龙	0	两千年前的阴谋(曹墨龙)最新章节首发更新_逐浪小说	
何昌窝的本名	何昌窝	0	何昌窝_百度百科	
中环三太子的所属地区	香港	1	香港	来自百度百科
中国地域文化的ISBN	753300857X	0	《中国地域文化(套装上下册)》(蒋宝德,李鑫生)【摘要 书评 试读...	
傅守志的国籍	中国	1	中国	来自百度百科
你若如湮的中文名	你若如湮	0	《你若如湮》折冥_【衍生小说|言情小说】_晋江文学城	
临床解剖学(第2版)的出版时间	2008-1-1	1	2008年1月1日	来自百度百科
中文Flash CS3动画制作应用基础教程的页数	198页	1	198页	来自百度百科
东海期货有限责任公司的经营范围	中国金融期货交易	0	东海期货有限责任公司_工商信息_风险信息 - 天眼查	
乌蒙紫晶报春的门	<a>被子植物门</a>	1	被子植物门	来自百度知识图谱
中医让你瘦的装帧	平装	0	中医让你瘦_百度百科	
世界观的故事的副标题	How now shall we live	0	世界观的故事_百度百科	
乔永佳的性别	男	1	男	来自百度百科
伐木者级的类型	攻击型护卫舰	0	伐木者级_百度百科	
中闽魏氏茶楼的地区	北京市	0	中闽魏氏茶楼_百度百科	
云南省教师招聘考试教材历年真题汇编小学教育理论综合知识的出版社	中国出版集团现代教育出版社	0	2012云南省教师招聘考试历年真题汇编教育理论综合知识（小学）_...	
于荣光的毕业院校	北京市风雷京剧团	1	北京市风雷京剧团	来自百度百科
何品言的出生地	陕西武功县普集镇屈家村	1	陕西武功县普集镇屈家村	来自百度百科
俺（汉语汉字）的中文名	俺	0	俺_百度百科	
中元日观法事的作品名称	中元日观法事	0	中元日观法事_百度百科	
中央戏剧学院京剧系的现任校长	郭跃进	1	徐翔	来自百度百科
买空的外文名	long sale	1	long sale	来自百度百科
丝瓜草菇肉丸汤的主要食材	猪肉、丝瓜	0	丝瓜草菇肉丸汤_百度百科	
中等职业学校行业英语系列教材：电子商务英语的ISBN	9787560075815	0	电子技术专业英语教材资源-CSDN下载	
倾城回梦的小说进度	连载	0	九魂奥义-序章:回梦一生-爱阅小说网	
云隐深水的中文名	云隐深水	0	【水光云影两悠悠】 - 吴江诗词网	
中国体育史的ISBN	9787810511063	0	中国体育史_百度百科	
丛林激战直升机的中文名	丛林激战直升机	0	丛林激战直升机_百度百科	
侍寝睡妃：代孕妾奴的中文名	侍寝睡妃:代孕妾奴	0	侍寝睡妃:代孕妾奴_《妾奴_妾奴小说 - 博艺中文小说网	
亚伯拉罕酒店的地理位置	市中心	1	市中心	来自百度百科
伊尔克·维卢达的职业	运动员 田径运动员	0	伊尔克·维卢达_百度百科	
亲子互动阅读卡：看图识字的书名	亲子互动阅读卡：看图识字	0	亲子互动阅读卡：看图识字_百度百科	
中国的生物经济的页数	910	1	910页	来自百度百科
东部网斑龟的中文名	东部网斑龟	0	东部网斑龟_百度百科	
从过去开始的中文名	从过去开始	0	从过去开始的日记中文版下载-从过去开始的日记攻略..._k73电玩之家	
丹山工业区的建立时间	1999年12月	1	1999年12月	来自百度百科
信游网的商业模式	BMC	0	信游网_百度百科	
二次元兑换人生的作者	狂气	1	狂气	来自百度百科
中共南宁市第四次代表大会的主要议程	核心小组工作报告	0	中共南宁市第四次代表大会_百度百科	
保洛尼队的成立时间	斯塔德·德拉·利博拉辛球场	0	保洛尼队_百度百科	
像风一样的起舞的中文名	像风一样的起舞	0	像风一样的起舞_百度百科	
修界传说之修仙的作者	心幻枫林	1	心幻枫林	来自百度百科
五强溪库区鱼庄的地区	长沙市	0	五强溪库区鱼庄_百度百科	
佩鲁索的中文名	费德里克-佩鲁索	0	费德里克·佩鲁索_百度百科	
仙北工业园的中文名	仙北工业园	0	仙北工业园_百度百科	
中国旅游研究2007的页数	243页	1	243页	来自百度百科
伊朗伊斯兰议会的中文名	伊朗伊斯兰议会	0	伊朗伊斯兰议会_百度百科	
中国娃娃认知宝：逛大街的出版社	山东美术出版社	0	中国娃娃认知宝：逛大街_百度百科	
住东岩的作者	释居静	0	住东岩_百度百科	
中网电力建设有限公司奎屯分公司的公司性质	建筑施工企业( 有限责任)	0	中网电力建设有限公司奎屯分公司_百度百科	
代你发梦的中文名	代你发梦	0	代你发梦_百度百科	
中非丛鵙的中文学名	中非丛鵙	0	非洲丛鵙属_百度百科	
仙下乡的方言	客家语—于桂片	0	【方志于都】 于都县仙下乡地名_高兴圩	
从希腊原子到夸克:发现原子的出版时间	2010年4月1日	1	2010年4月1日	来自百度百科
中海互动的中文名	<a>中海互动</a>	0	中海互动_百度百科	
乙丑年的对应公元年份	1925,1985,2045,2105年	0	乙丑年是公元多少年?_百度知道	
也许你知道的歌曲原唱	<a>张婧</a>	0	也许你知道_百度百科	
东米各庄村的地理位置	河北省廊坊市固安县	1	河北省廊坊市固安县	来自百度百科
二个男人的战争的分类	小游戏	0	二个男人的战争_百度百科	
九月十日偶书的文学体裁	<a>诗</a>	1	诗	来自百度百科
倾谁一世红颜的小说进度	连载	0	《一世红颜为谁倾》林小兔子_【原创小说|言情小说】_晋江文学城	
中国（河南）高校传媒联盟的发展动力	改革创新、解放思想	0	中国（河南）高校传媒联盟_百度百科	
佳妹火锅（稠州中路）的地区	金华市	0	佳妹火锅(稠州中路店)_百度地图	
云搜宝的成立时间	2010年11月	1	2010年11月	来自百度百科
仙子太妖娆的作者	才低一抖	0	盛世繁花：仙子太妖娆_百度百科	
九如轩饭庄的地区	北京市	0	九如轩饭庄_百度百科	
伊利安·加罗夫的球场位置	后卫	0	伊利安·加罗夫_百度百科	
傲剑虚空的小说性质	公众作品	0	傲剑虚空_百度百科	
乌戈·阿亚拉的出生日期	1987-03-31	1	1987年3月31日(白羊座)	来自百度百科
书虫·牛津英汉双语读物：谜图的书名	书虫·牛津英汉双语读物：谜图	0	书虫·牛津英汉双语读物：谜图_百度百科	
