query	expect_answer	is_exact	answer	_from
倪海权的中文名	倪海权	0	倪海权_百度百科	
书评杜拉拉升职记的连载网站	小说阅读网	0	杜拉拉升职记的书评 (1709)	
么荒乘降所的距离	300公里	0	【讨论】还有什么站距离这么近??(不算乡镇,乘降所和东西南北站而...	
东南亚的封建：奴隶制结构与古代东方社会的作者	何平	1	何平	来自百度百科
人皇至尊的小说进度	暂停	0	人皇至尊传最新全部章节在线阅读-爱阅小说网	
众安（厦门）网络科技有限公司的公司性质	民营企业独资	0	众安（厦门）网络科技有限公司_百度百科	
书立方：失落的文明的出版社	<a>重庆出版社</a>	0	书立方：失落的文明_百度百科	
以色列无毛鸡的外文名	Israel hairless chickens	1	Israel hairless chickens	来自百度百科
东芝Z930-K01S的中文名	东芝Z930-K01S	0	【东芝Z930-K01S】报价_参数_图片_论坛_Toshiba Portege Z930...	
中文版Photoshop CS2影像特效实训教程的页数	360	1	360页	来自百度百科
俄语时文阅读与新语解读的书名	俄语时文阅读与新语解读	0	俄语时文阅读与新语解读_百度百科	
云南泛亚学院小西门校区的创办时间	2013	1	2013年	来自百度百科
五色井六合计的中文名	五色井六合计	0	广宗五色井_百度百科	
东莞市加美特食品有限公司的公司性质	有限公司	0	东莞市加美特食品有限公司_百度百科	
何泌章的中文名	何泌章	0	何泌章_百度百科	
优鲈1号的地点	珠江所与广东省佛山市南海区	0	优鲈1号_百度百科	
五指山红星学校的现任校长	苏时强	1	苏时强	来自百度百科
久疾的作品名称	久疾	0	久疾_百度百科	
东河流村的中文名	东河流村	0	东河流村_百度百科	
乐盛村的面积	19平方公里	1	19平方千米	来自百度百科
中国蜂业的邮发代号	82-567	1	82-567	来自百度百科
中学地理词典的作者	李通	1	李通	来自百度百科
九转雷天的小说进度	连载	0	雷震九天-第五十九章 大功告成-爱阅小说网	
丝瓜污霉病的病原拉丁学名	Cladosporium capsici(March et Stey．)Kovachersky	0	丝瓜污霉病_百度百科	
任中秀的民族	汉族	1	汉族	来自百度百科
余建煊的毕业院校	天津大学	1	天津大学	来自百度百科
中国政法大学自强社的地点	北京市昌平区府学路中国政法大学	0	中国政法大学自强社_百度百科	
伊索的职业	寓言家、教育家	1	哲学家、文学家、寓言家	来自百度百科
世界经济概论（2010年机械工业出版社出版图书）的作者	杭言勇	0	世界经济概论_百度百科	
乞神路的连载网站	起点中文网	0	乞神路最新章节阅读下载-爱阅小说网	
云南省精品咖啡学会的中文名	云南省精品咖啡学会	0	云南省精品咖啡学会_百度百科	
中国科学院武汉文献情报中心图书馆的中文名	中国科学院武汉文献情报中心图书馆	0	中国科学院武汉文献情报中心图书馆_百度百科	
亚洲社会党会议的外文名	Asian Socialist. Conference	1	Asian Socialist.Conference	来自百度百科
五色冲自然村的别名	五色冲	1	五色冲	来自百度百科
亚特兰大巴克黑德/莱诺克斯原住客栈的地理位置	巴克黑得/布鲁克黑文	1	巴克黑得/布鲁克黑文	来自百度百科
保宽村的面积	3500亩	1	3500亩	来自百度百科
傻公主奴夫记的中文名	傻公主奴夫记	0	傻公主奴夫记_百度百科	
中兴U80的中文名	中兴U80	0	中兴U80参数 中兴U80功能介绍 3533手机世界	
中航航空电子有限公司的总部地点	<a>中国航空工业第一集团公司</a>	1	中国航空工业第一集团公司	来自百度百科
中村亮的身高	185厘米	1	185厘米	来自百度百科
中山（肇庆大旺）产业转移工业园的成立时间	2007年7月	1	2007年7月	来自百度百科
中航阳天电子的总部地点	东莞	1	东莞	来自百度百科
临床肿瘤光动力治疗学的出版社	人民军医出版社	0	临床肿瘤光动力治疗学	
东汉绿釉陶水榭的中文名	东汉绿釉陶水榭	0	东汉绿釉陶水榭_百度百科	
严中青年网的校训	务本求实、创新求真	1	务本求实,创新求真	来自百度百科
何市镇（四川自贡市大安区何市镇）的人口	2.3万	0	何市镇_百度百科	
丹尼·阿曼科瓦的惯用脚	右脚	1	右脚	来自百度百科
中田秀夫的出生地	冈山县	1	冈山县	来自百度百科
伊势神宫―东アジアのアマテラス的ISBN	9784121017796	0	伊势神宫―东アジアのアマテラス_百度百科	
井冈山市国脉宾馆的中文名	井冈山市国脉宾馆	0	井冈山市国脉宾馆_百度百科	
世纪云顶的楼盘名	世纪云顶	0	世纪云顶楼盘详细资料_楼盘介绍_销售信息-亳州新房-新安房产网	
像斗士一样活着的小说进度	已完结	0	像六哥一样活着最新全部章节在线阅读-爱阅小说网	
俄罗斯2S31式120MM自行迫榴炮的中文名	俄罗斯2S31式120MM自行迫榴炮	0	俄罗斯2S31式120MM自行迫榴炮_百度百科	
中国人民解放军南京政治学院的主要院系	哲学经济系、<a>军队政治工作</a>系、新闻系、历史系	0	中国人民解放军南京政治学院_百度百科	
二百八十一封信的集数	20	1	20集	来自百度百科
亚当斯（美国摄影家）的中文名	安塞尔·伊士顿·亚当斯	0	亚当斯_百度百科	
伱是我抹不掉的记忆的连载网站	17k小说网	0	伱是我抹不掉的记忆_百度百科	
中国起重人才网的工作	专业招聘	0	中国起重人才网_百度百科	
伊丽莎白·伊巴拉的国籍	西班牙	1	西班牙	来自百度百科
东林春晚作的作者	陈藻	1	陈藻	来自百度百科
