query	expect_answer	is_exact	answer	_from
(4DVD+4CD)易经中的管理智慧3/曾仕强的ISBN	9787889121880	0	中国式管理精髓:易经中的管理智慧3(原价980元,4DVD+4CD)曾仕强主讲	
0-3岁宝宝多功能认知书：宝宝在公园里的书名	0-3岁宝宝多功能认知书：宝宝在公园里	0	1岁以内的宝宝有什么书籍可以推荐,比如绘本之类? - 知乎	
1+1轻巧夺冠·优化训练：7年级数学的书名	1+1轻巧夺冠·优化训练：7年级数学	0	《1+1轻巧夺冠·优化训练:七年级数学(下)·人教版 2018..._京东图书	
0~100岁从睁开眼到见到神的ISBN	9787511500564	0	0~100岁从睁开眼到见到神_百度百科	
118321的属性	多方通话业务	0	118321_百度百科	
10000条成语词典的开本	64开	0	10000条成语词典_百度百科	
15篇文章贯通4级词汇的出版时间	2005年8月1日	1	2005年8月1日	来自百度百科
10·10中南大学化工学院实验楼火灾的地点	<a>中南大学</a><a>化工学院</a>实验楼四楼	0	10·10中南大学化工学院实验楼火灾_百度百科	
11·1墨西哥恰帕斯州地震的中文名	11·1墨西哥恰帕斯州地震	0	11·19墨西哥南部地震_百度百科	
12魔塔的中文名	12魔塔	0	12魔塔_百度百科	
119军事网的网站名称	119军事网	0	119军事网_百度百科	
1,3,5-三嗪-2,4,6(1H,3H,5H)-三硫酮三钠盐的CAS号	:17766-26-6	1	17766-26-6	来自百度百科
(R)-3-氨基-3-(3-氯苯基)-丙酸的分子量	199.6342	1	199.6342	来自百度百科
18岁，我们爱你的小说进度	连载	0	最强医生-第一百一十四章 我们爱你!-爱阅小说网	
.NET框架程序设计的出版时间	2013-2-20	1	2013年2月20日	来自百度百科
11·28江苏女记者开车碾人事件的地区	<a>常州</a>	0	11·28江苏女记者开车碾人事件_百度百科	
(+)-荷包牡丹碱的分子式	C20H17NO6	0	(-)-荷包牡丹碱甲溴化物 C21H20NO6.Br 分子结构 分子式 别名 - ...	
(S)-(-)-5-羟甲基-2(5H)-呋喃酮的外文名	:(S)-(-)-5-Hydroxymethyl-2(5H)-furanone	1	(S)-(-)-5-Hydroxymethyl-2(5H)-furanone	来自百度百科
10以内加法的开本	32开	0	10以内加法练习题(田字格)_百度文库	
101宠物猫的发行日期	2010-12-03	1	2010年12月3日	来自百度百科
10年之约的作者	南洋兄弟	1	南洋兄弟	来自百度百科
100个心理小实验帮你更好地了解宝宝的出版社	<a>上海社会科学院出版社</a>	0	100个心理小实验帮你更好地了解宝宝_百度百科	
