query	expect_answer	is_exact	answer	_from
168风铃美食店的地区	三亚市	0	168风铃美食店_百度百科	
1031车主服务的上线时间	2013年10月	1	2013年10月	来自百度百科
14只老鼠系列-套书附赠全套12本详细导读手册的定价	82.80元	0	14只老鼠系列-套书附赠全套12本详细导读手册_百度百科	
0532馋嘴蛙酒店（零五三二零伍三二）的营业时间	11:00-21:30	0	0532馋嘴蛙酒店（零五三二零伍三二）_百度百科	
1,3-二甲基-1氢-吡唑-5-甲酸乙酯的CAS号	5744-40-1;933728-77-9	1	5744-40-1;933728-77-9	来自百度百科
114批发网的类别	网站	0	114批发网-www.114pifa.com_名站在线	
0-1岁幼儿视觉激发：形状的书名	0-1岁幼儿视觉激发：形状	0	我爱家人(第二辑)爷爷和我去游泳 0-1-2-3-4-5-6岁少幼儿童早教...	
1394网络适配器的定义	一种网卡或者是<a>网络接口卡</a>	0	1394网络适配器_百度百科	
16岁女生产子的时间	2013年3月	1	2013年3月	来自百度百科
1+1轻巧夺冠·优化训练：4年级英语·人教PEP的页数	70页	0	1+1轻巧夺冠·优化训练:4年级英语(上)(人教版PEP)(新课标版) - ...	
1.9亿学生必读书新十万个为什么的出版时间	2009-1	1	2009年1月	来自百度百科
15crmo化肥管的应用	化肥设备、高压气瓶、高压锅炉	0	15crmo化肥管_百度百科	
.at域名的中文名	.at域名	0	.at域名_百度百科	
1-乙基-3-甲基咪唑硫酸氢盐的外文名	1-Ethyl-3-methylimidazolium Hydrogen Sulfate	1	1-Ethyl-3-methylimidazolium Hydrogen Sulfate	来自百度百科
140字推爆全世界的出版时间	2009-11-28	1	2009年12月3日	来自百度百科
149的罗马数字	CXLIX	1	CXLIX	来自百度百科
122-40-7的分子式	C14H18O	0	122-40-7 | CAS数据库	
100招学会角色概念设计的出版时间	2011-1-1	1	2011年1月1日	来自百度百科
1+X职业技能鉴定考核指导手册·室内装饰设计员的页数	173页	0	1+X职业技能鉴定考核指导手册:室内装饰装修质量检验员(3级)	
12660型远洋猎雷舰的长	67.8米	1	67.8m	来自百度百科
17game的中文名	17game	0	17GAME代理指环王 中文译名尚为悬念	
10W折叠式太阳能钱包充电器的中文名	10W折叠式太阳能钱包充电器	0	10W折叠式太阳能钱包充电器_百度百科	
1,6-庚二炔的外文名	:hepta-1,6-diyne	1	hepta-1,6-diyne	来自百度百科
1-己烷磺酸钠一水合物的分子式	C6H13NAO3SH2O	0	1-己烷磺酸钠一水合物_百度百科	
0-8岁最佳育儿建议的开本	16	0	0-8岁最佳育儿建议_百度百科	
16mn精密无缝管的中文名	16mn精密无缝管	0	16mn精密无缝钢管_百度百科	
1,2,3数兔子的ISBN	9787541745867	0	《1,2,3,数兔子》([法]薇罗尼卡·麦茨尔)【摘要 书评 试读..._京东	
001印象毛家香洲店的人均价格	37	0	001印象毛家香洲店_百度百科	
101传奇的作者	我的道	1	我的道	来自百度百科
17（邬祯琳专辑）的专辑歌手	<a>邬祯琳</a>	0	17_百度百科	
17Vee 琦基 I3的外观设计	直板	0	17Vee 琦基 I3_百度百科	
11司机的连载网站	起点中文网	0	11司机_百度百科	
1-氯-3-苯氧基丙烷的分子量	170	1	170	来自百度百科
11区的位于	东北亚的岛国	1	东北亚的岛国	来自百度百科
17MAX商城的产品领域	成人用品	0	17MAX商城_百度百科	
180°之双鱼的主演	韩鹏翼 / 吴洲凯	0	180°之双鱼_百度百科	
0岁启蒙（基础本） （平装）的出版社	吉林美术出版社	0	0岁启蒙(基础本) (平装) (豆瓣)	
139个高考考点对应易错题精析：数学的页数	337页	1	337页	来自百度百科
1-溴-4-苄氧基苯的CAS号	6793-92-6	0	1-溴-4-苄氧基苯「CAS号:152120-66-6」 – 960化工网	
10#钢管的计算公式	1钢管重量计算公式:[(外	0	下载Windows 10 光盘映像(ISO 文件)	
(±)-N,N-二甲基-1-二茂铁基乙胺的分子式:	C14H17FeN	0	31904-34-4_(±)-N,N-二甲基-1-二茂铁基乙胺CAS号:31904-34-4/(±...	
