query	expect_answer	is_exact	answer	_from
1210度高温修补剂HN767C的中文名	1210度高温修补剂HN767C	0	新耐1210度高温胶HN767C如何图片 - 东方供应商	
00Cr22Ni5Mo3N的锰(Mn)	≤2.0	0	00Cr22Ni5Mo3N_百度百科	
115同步盘的发行方	<a>115网盘</a>	0	115网盘服务直充_大陆游戏卡_微信充值_支付宝_苹果代充_海外游戏...	
1008年的大事件	十字军东征	0	公元1008年历史大事件_中国编年史	
1905年抵制美货运动的书名	1905年抵制美货运动	0	1905年抵制美货运动_百度百科	
1900大国崛起的连载网站	起点中文网	0	《1900大国崛起》全文阅读_未知1900大国崛起最新章节_书书网	
11不想再流浪的连载网站	起点中文网	0	11不想再流浪_百度百科	
10·29甘肃兰渝铁路隧道翻车事故的中文名	10·29甘肃兰渝铁路隧道翻车事故	0	10·29兰渝铁路定西段重大施工事故_百度百科	
(01)我快气炸了+我要，我就是要的译者	李紫蓉	0	我的英雄学院_百度百科	
1095弹簧钢片的特性	抗氧化、耐腐蚀、耐热、耐低温	0	1095弹簧钢片_百度百科	
11之乞丐的小说进度	连载	0	11乞丐在异世最新全部章节在线阅读-爱阅小说网	
1-2-3中心酒店的周围景观	共和国广场、罗马斗兽场、古罗马遗迹、威尼斯广场、万神殿、纳沃纳广场、圣天使城堡、许愿池、君士坦丁凯旋门、真理之口、西班牙广场	0	1-2-3中心酒店的周围景观_百度图片	
11G101-1混凝土结构施工图平面整体表示方法制图规则和构造详图的作者	中国建筑标准设计研究院 编	0	11G101-1混凝土结构施工图平面整体表示方法制图规则和构造详图_图...	
0-3岁婴幼儿保健护理的页数	121	1	121页	来自百度百科
+C 剑与号角的中文名	+C 剑与号角	0	+C 剑与号角_百度百科	
*妖孽*的小说进度	连载	0	仙欲之门-第一章 天下将乱,必出妖孽-爱阅小说网	
122-40-7的分子量	202.29	0	122-40-7 | CAS数据库	
1,1,3,3-四乙氧基丙烷的中文名	1,1,3,3-四乙氧基丙烷	0	1,1,3,3-四乙氧基丙烷 | 122-31-6	
0岁启蒙书：果蔬书的页数	24页	1	24页	来自百度百科
17棕榈考艾岛度假屋的酒店星级	4星级	1	四星级	来自百度百科
17孔桥的长度	150米	1	约150米	来自百度百科
10分中式快餐金桥店的地区	上海市	0	10分中式快餐金桥店_百度百科	
10分钟智商、情商、创造力早培养-3-4岁睡前10分钟的定价	16.90元	0	10分钟智商、情商、创造力早培养-1-2岁睡前10钟 (豆瓣)	
1340年的中文名	1340年	0	1340年 - 搜狗百科	
1,2-O-异亚丙基-α-D-呋喃葡萄糖的中文名	1,2-O-异亚丙基-α-D-呋喃葡萄糖	0	1,2-O-异亚丙基-D-呋喃葡萄糖(Cas 18549-40-1)生产厂..._盖德化工网	
1.2W太阳能背包的内置电池	1500mAH	0	1.2W太阳能背包_百度百科	
10·13印度尼西亚巴厘岛地震的时间	2011年10月13日	1	2011年10月13日	来自百度百科
1039N50的中文名	1039N50	0	1039N50_百度百科	
1900，迷失北京的中文名	1900,迷失北京	0	1900，迷失北京_百度百科	
159号段的发放时间	2004	0	159号段_百度百科	
12·15澳大利亚圣诞岛难民船触礁事故的事件	难民船触礁	0	12·15澳大利亚圣诞岛难民船触礁事故_百度百科	
(R)-2-甲基-CBS-恶唑硼烷的外文名	(R)-(+)-2-Methyl-CBS-oxazaborolidinesolution	1	(R)-(+)-2-Methyl-CBS-oxazaborolidinesolution	来自百度百科
0～3岁超级闪卡王的作者	崔钟雷 编	1	崔钟雷	来自百度百科
(R)-(+)-（6,6'-二甲氧基联苯-2,2'-基）双（二苯基膦）的中文名	(R)-(+)-（6,6'-二甲氧基联苯-2,2'-基）双（二苯基膦）	0	(R)-(+)-(6,6'-二甲氧基联苯-2,2'-基)双(二苯基膦) | 133545-16-1	
10全能学练课时达标*七年级数学下*人教的ISBN	9787537179881	0	10全能学练课时达标*七年级数学下*人教_百度百科	
155（自然数之一）的中文名	155	0	155_百度百科	
1901Cafe的营业时间	09:00-24:00	0	【1901 Cafe(西四店)】电话,地址,价格,营业时间(图) - 北京美食 -...	
12328的性质	全国交通运输服务监督电话	0	12328吧-百度贴吧	
0-1岁育儿一本通的出版社	人民军医出版社	0	0-1岁育儿一本通 (豆瓣)	
