query	expect_answer	is_exact	answer	_from
关面乡的所属地区	重庆市开县	1	重庆市开州区	来自百度百科
冲出太荒的连载网站	起点中文网	0	太荒寻仙-第一章 风云四起-爱阅小说网	
光影传奇的作者	迈克尔·格雷科	1	迈克尔·格雷科	来自百度百科
卢考森的位置	河北石家庄行唐人	1	河北石家庄行唐人	来自百度百科
南京栖霞古寺明徵君碑（全二册）的出版时间	2009-12	1	2009年12月	来自百度百科
关于同意收取经营性道路客货运输驾驶员从业资格考试考务费等有关问题的通知的发布单位	财政部	0	关于同意收取经营性道路客货运输驾驶员从业资格考试考务费等有关...	
北园村的地点	山西省长治市沁源县城西北部	0	北园村的地点_百度地图	
刘莺莺的职业	职业舞蹈演员·模特	1	舞蹈演员·模特	来自百度百科
兵化的作者	碎☆雨	0	兵化最新章节_兵化全文阅读_兵化-凤舞文学网	
冷却者的出品公司	美国	1	美国	来自百度百科
全国水平社的成立于	1922年	1	1922年	来自百度百科
双逆决天的连载网站	起点中文网	0	逆决九天-楔子-爱阅小说网	
北大方正维思报刊排版技术的书名	北大方正维思报刊排版技术	0	北大方正维思报刊排版技术_百度百科	
半城烟花的连载网站	起点中文网	0	半城烟花全文阅读,连载 言情小说	
卫星电源技术的页数	441	1	441页	来自百度百科
内耶德里的主要奖项	19345年世界杯最佳射手之一	0	奥尔德里希·内耶德里 - 搜狗百科	
刺蒺藜的纲	木兰纲	1	木兰纲	来自百度知识图谱
前村（山西省朔州市朔城区张蔡庄乡下辖村）的人口	956口人	0	前村_百度百科	
南京市二板桥小学的所属地区	中国 南京	1	中国南京	来自百度百科
华擎Wolfdale1333-DVI的主芯片组	Intel 945GC A2	0	【华擎Wolfdale1333-DVI】报价_参数_图片_论坛_(Asrock)华擎...	
动物世界大探秘：海洋·海岸动物的书名	动物世界大探秘：海洋·海岸动物	0	动物世界大探秘：海洋·海岸动物_百度百科	
北京易想国际展览有限公司的公司名称	北京易想国际展览有限公司	0	【北京室内设计培训】北京室内设计培训学校大全-教育宝手机站	
克鲁努贝里省的中文名	克鲁努贝里省	0	克鲁努贝里省_百度百科	
刘卫东（中国工商银行赣州分行行长）的出生地	河北省承德县	0	刘卫东_百度百科	
医学主题词表的编写人	美国国立医学图书馆	0	中文医学主题词表在查新工作中的应用_百度学术	
北京吉乐吉餐饮管理有限公司的总部地点	北京	1	北京	来自百度百科
南平汽车论坛的网站类型	汽车	0	南平汽车论坛_百度百科	
勘察设计网的中文名	勘察设计网	0	勘察设计网_百度百科	
动车组结构可靠性与动力学的装帧	平装	0	动车组结构可靠性与动力学_PDF图书下载_卜继玲,傅茂海 编_免费PDF...	
化身永恒的守护的连载网站	起点中文网	0	《化身永恒的守护》txt全集下载_百度知道	
别在危难时候说分手的中文名	别在危难时候说分手	0	别在危难时候说分手_百度百科	
华杂6号的芥酸含量	0.40%	1	0.40%	来自百度百科
军团火枪的耐力	+14	0	军团火枪_百度百科	
内蒙古海亮广场大酒店的中文名	内蒙古海亮广场大酒店	0	内蒙古海亮广场大酒店欢迎您	
华为Y321-C00的屏幕	4.0英寸屏幕	0	华为Y321-C00_百度百科	
冰山王爷可爱妃的中文名	冰山王爷可爱妃	0	冰山王爷可爱妃_百度百科	
冶金业员工安全知识读本的装帧	平装	0	冶金业员工安全知识读本_百度百科	
凡人圣者的中文名	凡人圣者	0	凡人圣者_百度百科	
北京路（十堰市北京路）的地点	十堰市北京路	0	在十堰市搜索北京路(十堰市北京路)的地点_百度地图	
八脚牌坊的中文名	八脚牌坊	0	我国最稳的牌坊,竟然拥有8只“脚”,被誉为是“东方的凯旋门”_名字	
兴华村（黑龙江省齐齐哈尔市碾子山区下辖村）的地理坐标东经	122°57′	0	兴华村_百度百科	
千日红动漫科技有限公司的公司名称	千日红动漫科技有限公司	0	千日红动漫科技有限公司_百度百科	
卓洋的成立时间	1988年	1	1988年	来自百度百科
再见成永别的作者	越天笑	0	无限之绝对存在-第七章:再见与永别-爱阅小说网	
兵牌退热贴的中文名	兵牌退热贴	0	兵牌退热贴_百度百科	
卫星帝国之崛起的小说进度	连载	0	卫星帝国之崛起_百度百科	
南昌市定山小学的主要奖项	全国中小学信息技术创新运用示范学校等	0	南昌市定山小学_百度百科	
卡佩里卡公寓的酒店地址	Zagrebacka 32, University Area, 杜勃罗文克, 克罗地亚	0	【上海C9公寓式酒店】在线预订,联系电话,价格查询-经济型酒店预订网	
刘灿军的中文名	刘灿军	0	刘灿军_百度百科	
农民心理健康常识的出版社	福建科学技术出版社	0	农民心理健康常识 (豆瓣)	
剃头传说的中文名	剃头传说	0	剃头传说_百度百科	
南岭贵东岩浆岩与铀成矿作用显微图册的ISBN	9787116069947	0	南岭贵东岩浆岩与铀成矿作用显微图册 (豆瓣)_豆瓣读书	
冯钦三宝木的目	金虎尾目	1	金虎尾目	来自百度知识图谱
单打羽毛球的游戏大小	1850K	1	1850K	来自百度百科
冯引士的出生日期	1898	0	冯引士_百度百科	
六水氯化镁的特点	呈柱状或针状、有苦味	0	六水氯化镁_百度百科	
兰色卡农的性别	男	1	男	来自百度百科
别再伤害，我很痛的连载网站	小说吧	0	别再伤害,我很痛电子书txt全集下载_百度知道	
初学者开口说日语 （附MP3）的出版社	笛藤	0	初学者开口说日语 （附MP3）_百度百科	
南屯村（山西省忻州市宁武县化北屯乡下辖村）的所属地区	山西省忻州市宁武县化北屯乡下辖村	0	南屯村_百度百科	
分手吧学会改变的中文名	分手吧学会改变	0	分手吧学会改变_百度百科	
十字苣苔属的二名法	Stauranthera Benth.	1	Stauranthera Benth.	来自百度知识图谱
刀刻葫芦的中文名	刀刻葫芦	0	刀刻葫芦_百度百科	
刘法师捉妖被妖捉灵隐寺济公吃狗肉的制作时间	民国年间	1	民国年间	来自百度百科
光影交舞石头记：的译者	吳家恆	0	光影交舞石頭記: (豆瓣)	
千塘苗寨的别名	千塘苗寨村	1	千塘苗寨村	来自百度百科
儿童大学的出版时间	2012-07	1	2012年7月	来自百度百科
