query	expect_answer	is_exact	answer	_from
MWP的缩写	MWP	0	MWP_百度翻译	
Appartamento da Francesca的英文名称	Appartamento da Francesca	0	Appartamento Vacanze Francesca, Tarvisio: Deals & Booking |...	
TP-LINK T3100的厚度	13.5毫米	1	13.5毫米	来自百度百科
2009中级经济法应试指导及全真模拟测试的ISBN	9787802550865	0	初级会计实务应试指导及全真模拟测试_PDF图书下载_初级会计专业...	
三天学会当出纳的定价	￥30.00 元	0	三天学会当出纳	
B619公交车的中文名	B619公交车	0	B619公交车_百度百科	
FLN-20A的水箱容量	10L	1	10升	来自百度百科
Easy GIF Animator的公司性质	民营企业	0	Easy GIF Animator_百度百科	
eensy weensy 毒舌小恶魔 01的定价	NT$90	0	eensy weensy 毒舌小恶魔 01_百度百科	
316L不锈钢圆钢的中文名	316L不锈钢圆钢	0	316L不锈钢圆钢_百度百科	
M·比辛迪的出生日期	1987年4月13日	1	1987年4月13日	来自百度百科
Q376型吊钩式抛丸机的抛丸量	200x2kg/min	0	Q376型吊钩式抛丸机的抛丸量_商品批发价格_百度爱采购	
Intel Xeon E5530的中文名	Intel Xeon E5530	0	【Intel Xeon E5530参数】Intel Xeon E5530服务器CPU参数_规格...	
2009年全国会计专业技术资格考试辅导用书财务管理历年考题详解及模拟测试（中级）的出版时间	2009-1	0	中级财务会计试题 - 京东	
SKF NKXR35Z轴承的系列	组合式滚针轴承	0	供应北京现货瑞典SKF组合滚针轴承RNAO5x10x8TN轴承-北京博露国际...	
MSComm控件的中文名	MSComm控件	0	MSComm控件_百度百科	
三世囚妃之月魅雨心的中文名	三世囚妃之月魅雨心	0	女主角名叫明夏的小说_百度知道	
Web应用程序开发教程：ASP,SQLServer的开本	16	0	Web应用程序开发教程——ASP.NET+SQL Server(源码)_asp.net web+...	
SKF 2×7409BGM轴承的中文名	SKF 2×7409BGM轴承	0	SKF 2*7409BGBM轴承_百度百科	
上坝老村的海拔	1269米	1	1269米	来自百度百科
Studio Noir Et Blanc的房间数量	2	0	Studio Noir Et Blanc_百度百科	
Origin8.0实用教程的出版时间	2009-2	1	2009年2月	来自百度百科
1911一个人的革命的出版社	浙江大学出版社; 第1版	0	1911一个人的革命_百度百科	
下假巴村的所属地区	山区	1	山区	来自百度百科
L·斯莫林的国籍	美国	1	美国	来自百度百科
七彩五行的小说进度	连载	0	破妄之眸-第九章 五行成,天轮决-爱阅小说网	
三才灵宝的作者	瑞安豆	0	旗门-五十六、三才六合-爱阅小说网	
一哥酸菜鱼（水边街店）的营业时间	09:00-00:00	0	一哥酸菜鱼（水边街店）_百度百科	
J·杜治的职业	运动员 足球	0	J·杜治_百度百科	
Tofino的温度	-40°C到+70°C、0°C 到 60°C	0	Tofino天气预报	
ITC华银的总部地点	广州市高新技术产业开发区科学城科学大道162号创意大厦B3栋9楼	1	广州市高新技术产业开发区科学城科学大道162号创意大厦B3栋9楼	来自百度百科
2,3-二氟溴苯的CASRN	38573-88-5	0	2,3-二氟溴苯_百度百科	
ULzzang的类别	网络用语	0	ulzzang手表怎么辨别真假?_百度知道	
一起走过的女孩的中文名	一起走过的女孩	0	那些年我们一起走过的女孩女主角叫什么名字_百度知道	
ATM2000E防坦克地雷的中文名	ATM2000E防坦克地雷	0	ATM2000E防坦克地雷_百度百科	
74式7.62mm机枪的生产单位	<a>日本</a>住友重型工业公司	0	74式7.62mm机枪_百度百科	
专家解答抑郁症的出版社	第四军医大学出版社	0	专家解答抑郁症 (豆瓣)	
上海徐浦大桥的地址	上海	0	在上海市搜索上海徐浦大桥的地址_百度地图	
三亚雅景鹭酒店的装修时间	2011-10-01	1	2011年10月1日	来自百度百科
It's Not Christmas Without You的唱片公司	The Verve Music	0	It's Not Christmas Without You_百度百科	
三家村札记的开本	16	0	三家村札记_百度百科	
丁脚二村的行政区类别	自然村	0	丁脚二村_百度百科	
"7+1"营养强化面粉的包括	锌、维生素B1、铁、钙	0	"7+1"营养强化面粉_百度百科	
丁乃鹏的籍贯	江苏淮安人	1	江苏淮安	来自百度百科
J·宾尼迪斯的中文名	J·宾尼迪斯	0	J·宾尼迪斯_百度百科	
万佛寺（江苏省常州市寺庙）的建筑面积	22000余平方米	0	万佛禅寺_百度百科	
??? ?? Banana Fish 1 完全版的ISBN	9788959192656	0	??? ?? Banana Fish 1 完全版_百度百科	
HH48X微阻缓闭蝶式止回阀的缓闭时间	3～60秒	0	微阻缓闭蝶式止回阀-HH46X/HH48X/HH49X微阻缓闭蝶式止回阀-中国...	
UG典型案例造型设计的出版时间	2009年01月	1	2009年1月	来自百度百科
2-苯基-4-戊烯醛的分子式	：C11H12O	0	2-苯基-4-戊烯醛_百度百科	
三星T578的网络制式	TD-SCDMA(3G),GSM,双模	1	TD-SCDMA(3G),GSM,双模	来自百度百科
USM阿尔及尔足球俱乐部的中文名	USM阿尔及尔足球俱乐部	0	USM阿尔及尔足球俱乐部_百度百科	
913年的纪年	<a>南吴</a><a>天祐</a>十年、<a>癸酉</a>年（<a>鸡年</a>）、农历<a>癸酉</a>年	1	农历癸酉年,癸酉年（鸡年）,南吴天祐十年	来自百度百科
KOYO 32211CR轴承的厚度	26.75mm	1	26.75毫米	来自百度百科
一机的中文名	一机	0	求问一个外国机器的名字 谢谢 中文名_百度知道	
SKF T7FC065/QCL7C轴承的中文名	SKF T7FC065/QCL7C轴承	0	SKF T7FC065/QCL7C轴承_百度百科	
