query	expect_answer	is_exact	answer	_from
一起省的致力于	提供更好的电子商务服务	0	一起省_百度百科	
Juniper NetScreen-10A的并发连接数	40000	1	40000	来自百度百科
上海系联电子科技有限公司的总部地点	上海	1	上海	来自百度百科
万宝镇（吉林省延边州安图县下辖镇）的所属地区	吉林省延边州安图县	0	万宝镇_百度百科	
ute的性质	人工合成的<a>放射性</a>化学<a>元素</a>	0	高压下USe和UTe的结构相变和弹性性质的第一性原理计算	
Acres的名字来源	英语	0	Acres_百度百科	
Martin House的地理位置	火车站	1	火车站	来自百度百科
Charles Vaillant的星座	双子座	1	双子座	来自百度百科
下横沟村民小组的地点	下横沟	0	下横沟村民小组_百度百科	
Caliburger（1788国际中心店）的营业时间	10:30-10:00	0	Caliburger（1788国际中心店）_百度百科	
七彩水晶头骨的作者	雪中虹	0	有一本书是关于玛雅预言的,主人公收集了十三个水晶头骨,书的名字...	
For The Record的所属专辑	《E=Mc》	0	《For the Record》单曲 - 《E=MC²》专辑 - Mariah Care..._虾米	
msi微星H61M-E33(G3)的中文名	msi微星H61M-E33(G3)	0	...G3】报价_参数_图片_论坛_msi微星 微星H61M-E33(G3)主板报价...	
J·圣达菲的国籍	厄瓜多尔	1	厄瓜多尔	来自百度百科
SKF IR90x100x26轴承的厚度	26mm	1	26毫米	来自百度百科
上古乐村的人口	276人	1	276人	来自百度百科
2011中国国际服务贸易博览会的中文名	2011中国国际服务贸易博览会	0	2010中国国际服务贸易博览会_百度百科	
AutoCAD2010中文版室内装潢设计实例教程·户型设计篇的ISBN	7111276671, 9787111276678	0	AutoCAD 2010中文版室内装潢设计从入门到精通.pdf	
JAPOD 苹果 iPad2/3 保护套（苏格兰系列）的配件类型	平板电脑保护套	0	【JAPOD 苹果 iPad2/3 保护套 苏格兰系列 参数】JAPOD 苹果 iPad2...	
KOYO 23248RK+AH2348轴承的外文名	KOYO 23248RK+AH2348轴承	0	KOYO 23248RHA轴承_百度百科	
C大学教程的作者	（美）戴特尔	1	戴特尔	来自百度百科
