query	expect_answer	is_exact	answer	_from
三普Y777的重量	112.3 克	0	三普Y777参数 三普Y777功能介绍 3533手机世界	
2012年全国二级建造师执业资格考试用书（第3版）：建筑工程管理与实务的出版社	<a>中国建筑工业出版社</a>	0	2011全国二级建造师执业资格考试用书:建筑工程管理与实务(第3版)	
1004年的事件	宋京师等地地震	0	公元1004年历史大事件_中国编年史	
丁西林研究资料的出版时间	2010年01月	1	2010年1月	来自百度百科
不灭血煞的连载网站	起点中文网	0	不灭血脉_血煞月影_作品介绍_最新章节_全文无弹窗免费阅读-17k小...	
三国杀：冥王魅爱的中文名	三国杀:冥王魅爱	0	三国杀：冥王魅爱_百度百科	
上海交通大学学生服务中心的中文名	上海交通大学学生服务中心	0	上海交通大学学生服务中心_百度百科	
ILLUSIA 2的语言	英文	0	ILLUSIA 2_百度百科	
IBM BladeCenter LS20(885081C)的标配CPU数量	标配1个AMDOpteron252LP处理...	0	IBM BladeCenter LS20(885081C)参数_IBM BladeCenter LS20(885081...	
43994的主营	<a>Flash小游戏</a>	0	请问科技服务公司的主营业务成本有哪些?需要设置明细科目么?-会计...	
上海银行申卡国际卡的中文名	上海银行申卡国际卡	0	上海银行申卡国际卡_百度百科	
100名美国杰出运动员的出版社	天津大学出版社	0	【图书】100名美国杰出运动员_百度学术	
EastSummit的研发	<a>北京东方顶峰科技有限公司</a>	0	EastSummit_百度百科	
3·15秘鲁地震的中文名	3·15秘鲁地震	0	3·15秘鲁地震_百度百科	
Real-Time Bidding的中文名	实时竞价	1	实时竞价	来自百度百科
下辈子不再做你的小三的中文名	下辈子不再做你的小三	0	下辈子不再做你的小三_百度百科	
Gerald's Game （平装）的ISBN	9780450586231	0	Gerald's Game （平装）_百度百科	
上海市车船税实施办法的实施时间	自发布时间起	0	上海市人民政府关于印发《上海市车船税实施规定》的通知	
一晌欢颜的小说进度	连载	0	一晌欢颜_百度百科	
一江楼的营业时间	10:30-24:00	0	福州一江楼,地址,电话,菜单,评价,地图	
BG-8中级双座滑翔机说明书的语言	中文	0	BG-8中级双座滑翔机说明书_百度百科	
AL6XN的Mo	：6%	0	AL6XN_百度百科	
SKF 22211EK轴承的外径	100mm	1	100毫米	来自百度百科
一个真实的冰心----美丽与哀愁(H)的出版社	东方出版社;	0	一个真实的冰心----美丽与哀愁(H)_百度百科	
NSK 30204轴承的外径	47mm	1	47毫米	来自百度百科
Fact-Fiction的唱片公司	PID	1	PID	来自百度百科
J·莫罗兹的身高	185厘米	1	185厘米	来自百度百科
F·卡斯塔多的国籍	意大利	1	意大利	来自百度百科
NVIDIA GeForce GTX 485M的中文名	NVIDIA GeForce GTX 485M	0	NVIDIA GeForce GTX 485M_百度百科	
Alissa Flash的国籍	美国	1	美国	来自百度百科
IBM：变革之舞的ISBN	978-7-111-43790-1	0	IBM：变革之舞_百度百科	
