query	expect_answer	is_exact	answer	_from
2009中国当代文学年鉴的出版时间	2010-10	1	2010年10月	来自百度百科
一览名校网的中文名	一览名校网	0	一览名校网_百度百科	
万化仙音的中文名	万化仙音	0	万化仙音图册_百度百科	
Win32.Troj.Startpage.s的中文名	陷阱	1	陷阱	来自百度百科
C++程序设计学习指导与习题解答的书名	C++程序设计学习指导与习题解答	0	C程序设计语言(第2版·新版)习题解答--详细书签版-C++文档类资源...	
EREDAN的游戏平台	PC	0	eredan itcg store - Eredan iTCG : 卡牌收集游戏 - 免费注册	
FAG NU230-E-M1轴承的中文名	FAG NU230-E-M1轴承	0	FAG轴承-31326X轴承32036X轴承23076B.MB轴承NU230E.M1.C3轴承...	
万安乡（福建浦城县万安乡）的所属地区	福建浦城县	0	万安乡_百度百科	
Android工程师的类别	移动应用开发者	0	android开发工程师属于什么职位类别_百度知道	
2007数学复习全书的出版时间	2006-2	1	2006年2月	来自百度百科
PQI i512(32GB)的存储容量	32GB	1	32GB	来自百度百科
Uuo的电负性	0	0	元素电负性表 - 经营企划 - 道客巴巴	
SKF YAR205-100-2RF/HV轴承的型号	YAR205-100-2RF/HV	0	带座轴承	
5-硝基水杨醛的分子式	C7H5NO4	0	5-硝基水杨醛_百度百科	
HP ProLiant DL580 G5(438084-AA1)的CPU型号	Xeon E7340 2.4GHz	1	Xeon E7340 2.4GHz	来自百度百科
mama said的中文名	<a>迪克兰</a>·加尔布雷斯	1	迪克兰·加尔布雷斯	来自百度百科
上海碧谷贸易有限公司的公司名称	上海碧谷贸易有限公司	0	上海碧谷贸易有限公司_百度百科	
上海市文来中学的类别	私立初中	0	上海市文来中学_百度百科	
II优588的品种审定编号	琼审稻2008006	0	II优588_百度百科	
三星R18-DY0V的中文名	三星R18-DY0V	0	三星R18-DY0V_百度百科	
三个空间理论的视角空间	与一生所获得的知识多少有关	0	三个空间理论_百度百科	
1618清真公馆的人均价格	211	0	【1618清真公馆(马场道店)】电话,地址,价格,营业时间(图) - 天津...	
IQ/EQ/CQ贴纸乐园超越的书名	IQ/EQ/CQ贴纸乐园超越	0	IQ/EQ/CQ贴纸乐园超越_百度百科	
不爱你不是我的错的中文名	不爱你不是我的错	0	爱上你不是我的错_百度百科	
POP 形体舞蹈速成的定价	23.8	0	POP 形体舞蹈速成_百度百科	
三价线的外文名	Three Break Line	0	新三价线指标_百度百科	
T91进口合金管的特点	硫、磷的含量低	0	T91进口合金管_百度百科	
一起走过的叛逆季节的作者	单恋一瓣雪	1	单恋一瓣雪	来自百度百科
“腥风血雨”的日子的连载网站	红袖添香网	0	“腥风血雨”的日子_百度百科	
一零一法国餐厅的人均价格	96	0	一零一法国餐厅_百度百科	
MO（OLE控件(MapObjects)）的简写	MO	0	MO_百度百科	
kadopa的代理单位	北京中北知识产权代理有限公司	0	kadopa_百度百科	
SIMpass技术的中文名	SIMpass技术	0	SIMpass技术_百度百科	
Tock's的人均价格	93	0	【Tock's(福州路店)】电话,地址,价格,营业时间(图) - 上海美食 - ...	
Apartment Cala Nau Cala Millor的房间数量	4	0	Apartment Cala Nau Cala Millor_百度百科	
Linux网络管理的中文名	Linux网络管理	0	Linux 网络管理的简单操作及介绍 - zfl13720702486的博..._CSDN博客	
2010周华健苏州演唱会的中文名	2010周华健苏州演唱会	0	2010周华健苏州演唱会_百度百科	
2012款 QQ3 时尚版 1.0L AMT爱尚型的夜视系统	主动安全－	0	...奇瑞QQ 1.0L 手动快乐版对比2012款 QQ3 时尚版 1.0L AMT爱尚型...	
不要（方文山诗歌）的作品名称	不要	0	不要_百度百科	
something（东方神起正规七辑主打曲）的填词	<a>俞永镇</a>	0	Champagne_百度百科	
AMX-10步兵战车的中文名	AMX-10步兵战车	0	AMX-10P步兵战车_百度百科	
melee的外文名	melee	0	melee_百度百科	
world elite的成立时间	2005年5月	1	2005年4月21日	来自百度百科
上海钢铁服务业协会的外文名	SSSTA	1	SSSTA	来自百度百科
上海林林文化传播有限公司的主要服务	微服务、互联网服务	0	上海林林文化传播有限公司_百度百科	
上饶龙潭湖宾馆的建筑面积	3.4万平方米	1	3.4万平方米	来自百度百科
d-柠檬烯的外文名	D-limonene	1	D-limonene	来自百度百科
Mohan大乱斗的语言	中文	0	Mohan大乱斗_百度百科	
ben10骇客少年特技自行车修改版的游戏大小	4463KB	1	4463KB	来自百度百科
Heartland国际英语学校的类别	私立英语培训<a>学校（教育的组织机构）</a>	0	Heartland国际英语学校_百度百科	
SKF NA4860轴承的外径	380mm	1	380毫米	来自百度百科
ATI FireGL V8650的开发代号	R600XTX	0	蓝宝石FireGL V8650参数-配置-性能规格-参数对比-天极网	
七姬物语第三章的装帧	32K	0	七姬物语第三章_百度百科	
一生奈何的作者	李坤阳	1	李坤阳	来自百度百科
U十字酒店的中文名	U十字酒店	0	U十字酒店_百度百科	
Sunpark Hotel Naito的英文名称	Sunpark Hotel Naito	0	Sunpark Hotel Naito_百度百科	
上海点客信息技术股份有限公司的公司性质	上市公司	0	上海点客信息技术股份有限公司_百度百科	
2010专利代理人资格考试指南的页数	794	1	794页	来自百度百科
30XM合金结构钢的硬度	241HB	0	30XM合金结构钢_百度百科	
DS1302芯片的公司	美国DALLAS公司	1	美国DALLAS公司	来自百度百科
三星D39i的光学变焦	10倍	0	【三星D39i】报价_参数_图片_论坛_(Samsung)三星D39i数码摄像机...	
三星 P430-JS0D的上市时间	2011年04月	1	2011年4月	来自百度百科
Villa Granados的酒店地址	Navares Y Tejares 106 C, 29400 隆达	0	villa granados的酒店_百度地图	
七龙珠完全版 01的页数	216	1	216页	来自百度百科
下瓦房自然村的中文名	下瓦房自然村	0	下瓦房自然村_百度百科	
万晓文的性别	男	1	男	来自百度百科
Little Britain 小不列颠的人均价格	41	0	Little Britain 小不列颠_百度百科	
丁敏君的门派	<a>峨眉派（源自先秦华夏的本土流派）</a>	1	峨眉派	来自百度百科
LG GW620的触摸屏	支持	0	手机lg gw620 开始打开物理键盘触摸屏不管用,后来触摸屏完全不	
七彩虹逸彩9600GT-GD3 CF黄金版 512M N10的显存容量	512MB GDDR3	1	512MB GDDR3	来自百度百科
HY N229W的点距	0.282mm	1	0.282毫米	来自百度百科
2002年中国报告文学精选的装帧	精装(无盘)	0	2002年中国报告文学精选_百度百科	
三星55ES9500的支持格式	1080p（全高清）	0	三星55ES9500_百度百科	
《春梦》的作品出处	《河岳英灵集》	0	春梦_百度百科	
unires.dll的含义	<a>动态链接库</a>(Dynamic Link	0	unires.dll_百度百科	
三世轮回守护星的降临的中文名	三世轮回守护星的降临	0	三世轮回守护星的降临_百度百科	
一慧的国籍	中国	1	中国	来自百度百科
三洋 XU310C的标准分辨率	SVGA（800*600）	0	三洋PLC-XU310C参数_三洋PLC-XU310C参数配置|详细参数_太平洋产品...	
summer blue的填词	森由里子	1	森由里子	来自百度百科
letter（滨崎步演唱歌曲）的所属专辑	《<a>Party Queen</a>》	0	letter_百度百科	
三公主，赖上你们的连载网站	云中书城	0	三公主,赖上你们_百度百科	
6年级数学-培优新题库的ISBN	9787811303377	0	6年级数学-培优新题库_百度百科	
三倾天下的中文名	三倾天下	0	三倾天下_百度百科	
DC Villas的酒店地址	km 9, Phu Hai, Binh Thuan, 美奈, 藩切, 越南	0	DC Villas_百度百科	
不凡的大学旅程的中文名	不凡的大学旅程	0	《不凡的大学旅程》最新txt全集下载_百度知道	
三国群英大富翁中文版的游戏大小	498M	0	三国群英大富翁中文版_百度百科	
2011中华小姐环球大赛的推崇形象	勇敢与智慧、美丽与活力	0	中华小姐环球大赛_百度百科	
3ds max8完全学习手册的ISBN	9787121021978	0	3ds max 8完全学习手册 (豆瓣)	
NSK 7326C/DB 轴承的新型号	7326C/DB	0	KOYO 7326 AC/DF轴承现货供应 7326 AC/DF尺寸参数,价格	
GetPrivateProfileSection的缓冲区的大小	lpReturnedString、nSize Long	0	GetPrivateProfileSection_百度百科	
Pro/ENGINEER 2001中文版零件设计初级指南的页数	521	1	521页	来自百度百科
FAG ZARF2590-TV轴承的型号	ZARF2590-TV	0	FAG轴承型号尺寸参数查询表 ZARF ZARN0000_FAG轴承型号尺寸参数...	
ziko的外文名	ziko	0	ziko_百度百科	
“毒蝎”式武装炮艇机的有点	动力效率高、机动能力强	0	“毒蝎”式武装炮艇机_百度百科	
专属天使（Tank专辑歌曲）的演唱者	Tank	0	专属天使_百度百科	
3S集成的外文名	integration, integration of GPS, RS and GIS technology	1	integration, integration of GNSS, RS and GIS technology	来自百度百科
