query	expect_answer	is_exact	answer	_from
FAG B7200C.T.P4S.UL轴承的中文名	FAG B7200C.T.P4S.UL轴承	0	原装**FAG超精密机床主轴轴承B7200C.T.P4S.UL/B7205E.T.P4S.UL	
万花路10号院的小区地址	：朝阳万花路10号院	0	在南京市搜索万花路10号院的小区地址_百度地图	
SKF YAT204轴承的内径	20mm	1	20毫米	来自百度百科
专属旋律：Demon圆舞曲的连载网站	云中书城	0	专属旋律：Demon圆舞曲_百度百科	
epr动力系统保护液的中文名	epr动力系统保护液	0	epr动力系统保护液_百度百科	
Chino XL的出生日期	1971年4月8日	1	1971年4月8日	来自百度百科
F·伊斯卡朗特的职业	运动员 足球	0	F·伊斯卡朗特_百度百科	
M67F焊条的特点	高活性、包药皮	0	M67F焊条_百度百科	
Java技术及其应用的书名	Java技术及其应用	0	Java技术及其应用_百度百科	
18岁成人礼的小说进度	连载	0	细雨斜阳-第一章 十八岁成人礼,意外!-爱阅小说网	
21世纪的十诫的装帧	平装	0	21世纪的十诫_百度百科	
B714研究所的大小	5649K	0	B714研究所_百度百科	
Nel cuore della Kalsa的英文名称	Nel cuore della Kalsa	0	Nel cuore della Kalsa_百度百科	
putenv的头文件	#include&lt;stdlib.h&gt;	0	putenv_百度百科	
LG V-CE681HAY的使用方式	卧式	0	LG V-CE681HAY吸尘器使用说明书:[2]-百度经验	
2010年上海世博会场馆规划模型的深化优化	法国ArchitectureStudilo公司	0	2010年上海世博会场馆规划模型_百度百科	
AILI（六里山店）的地区	济南市	0	AILI爱的礼物_百度地图	
V型锥流量计的中文名	V型锥流量计	0	V锥型流量计_百度百科	
Antica Dimora - Casa Vacanze的房间数量	4	0	谁住过马尔萨拉Casa vacanze Misilla,是否推荐? - 穷游问答	
FAG 22324-E1轴承的内径	120mm	1	120毫米	来自百度百科
一个女人的悲剧的页数	196	1	196页	来自百度百科
Stewart 家族之rose的小说进度	连载	0	Stewart 家族之rose_百度百科	
不流泪的机场的公司	<a>海蝶唱片</a>	0	国防军工企业信息化与信息安全概要 - 不流泪的机场 - 博客园	
RF模块的运用	遥控、遥测、在<a>车辆监控</a>	0	RF模块_百度百科	
CECT灵羽616M+的重量	100g	0	CECT灵羽616M+_百度百科	
上海小南国（久光店）的营业时间	10:00-22:00	0	【上海小南国(久光店)】电话,地址,价格,营业时间(图) - 苏州美食...	
一花拉Spa酒店的地理位置	新加坡北岸区域	1	新加坡北岸区域	来自百度百科
Thecus 1U4500S的硬盘盘位	4	0	【色卡司1U4500S】报价_参数_图片_论坛_(Thecus)色卡司1U4500S...	
Egypt Insight Guide （平装）的定价	200.0	0	Egypt Insight Guide （平装）_百度百科	
optone2200S80的收发器类型	以太网光纤收发器	0	...2200S80参数】Optone 2200S80功能_配置_规格_收发器参数-天极...	
2011中国国家交响乐团新年音乐会的演出时间	2010.12.30	1	2010年12月30日	来自百度百科
不灭永续的小说进度	连载	0	不灭的战意最新全部章节在线阅读-爱阅小说网	
L·特塞克的国籍	德国	1	德国	来自百度百科
Murmuri Residence的周围景观	巴塞罗那西班牙广场、奥林匹克港、古埃尔公园、加泰罗尼亚广场、兰布拉大道、西班牙巴塞罗那凯旋门、米拉之家、哥伦布纪念塔、波盖利亚市场、巴特罗之家、圣家堂	0	Murmuri Residence Mercader梅卡德尔穆尔穆里公寓酒店预订..._缤客	
T-65榴弹炮的中文名	T-65榴弹炮	0	T-65榴弹炮_百度百科	
Gusthouse Ava的英文名称	Gusthouse Ava	0	Amazon.com: Online Shopping for Electronics, Apparel...	
D-Link DCS-3220G的中文名	D-Link DCS-3220G	0	D-LINK DCS-3220G参数_D-LINK DCS-3220G参数配置|详细参数_太平洋...	
MostWanted霆锋精选的公司	英皇娱乐	1	英皇娱乐	来自百度百科
TP-LINK TL-R60+的端口结构	非模块化	0	【路由器】路由器报价及图片大全-列表版-ZOL中关村在线	
KHSYS C205的平均传输速率	300MB/s	1	300MB/s	来自百度百科
iAUDIO D2+（4GB）的中文名	iAUDIO D2+（4GB）	0	iAUDIO D2+(4GB)_百度百科	
三洋DC-PT100的音频输出端口	模拟音频,音箱	0	三洋DC-PT100_百度百科	
TIMKEN M282249/M282210轴承的外圈	M282210	0	供应ZWZ M282249D/M282210轴承-上海晟稳精密机电设备有限公司...	
2009上海开发区发展报告的装帧	平装	0	雅维德(上海)装帧材料有限公司_工商注册信息_企业工商信息查询...	
EDWIN（牛仔裤品牌）的中文名	<a>EDWIN</a>	0	EDWIN_百度百科	
上海子村（云南宣威市得禄乡下辖村）的面积	国土面积1.29平方公里	0	上海子村_百度百科	
SKF AOH241/1000轴承的品牌	SKF	0	SKF轴承AOH 241/1000,退卸套-「滚动轴承」-马可波罗网	
MACY'S酒店的英文名称	MACY'S HOTEL	0	MACY'S酒店_百度百科	
whyyu的性质	新型教学方法	0	whyyu_百度百科	
P2P信贷的代表	Zopa（英国） 有利网（国内）	0	p2p和信贷的区别是什么呢_p2p和信贷的区别_聚合专题_网贷之家	
上环站的开放时间	0605－0056	0	上环站_百度百科	
上海碧茂贸易发展有限公司的公司名称	上海碧茂贸易发展有限公司	0	上海碧茂贸易发展有限公司--首页	
QW潜水排污泵的温度	不超过0℃	0	QW潜水排污泵_百度百科	
Smart找茬的玩家人数	双人	0	Smart找茬_百度百科	
