query	expect_answer	is_exact	answer	_from
syntplpr.exe的中文名	syntplpr.exe	0	syntplpr_百度百科	
三素沙爹焖鸭的菜名	三素沙爹焖鸭	0	三素沙爹焖鸭的做法大全_三素沙爹焖鸭的家常做法_三素..._豆果美食	
kongmoon的外文名	kongmoon	0	kongmoon_百度百科	
I·拉平的出生日期	1988年5月8日	1	1988年5月8日	来自百度百科
In Your Eyes（杨丞琳歌曲）的发行时间	2010年01月	0	In Your Eyes_百度百科	
不可不知的99个幼儿入园问题的书名	不可不知的99个幼儿入园问题	0	不可不知的99个幼儿入园问题_百度百科	
amec的外文名	AMEC	0	amec_百度百科	
一世洪荒的连载网站	17k小说网	0	洪荒祖巫-第51章 立志一世万人敌-爱阅小说网	
BOSS，你弱爆了！的中文名	BOSS,你弱爆了!	0	《BOSS,你弱爆了!》墨允儿_【未知】_晋江文学城	
三星SCC-A2313P的成像器件	1/2英寸 Ex-view IT CCD	0	三星SCC-A2313P_百度百科	
V·凯斯利弗的出生日期	1980年12月12日	1	1980年12月12日	来自百度百科
EDS-518A的尺寸	95*135*140mm	1	95*135*140毫米	来自百度百科
一个男人的路的连载网站	好123小说	0	一个男人的路-海洋兄弟-书连网	
5分钟搞定客户的出版时间	2010年04月	1	2010年4月	来自百度百科
三亚湾超越家庭旅馆（蓝色海岸店）的中文名	三亚湾超越家庭旅馆（蓝色海岸店）	0	三亚圣芭芭拉家庭旅馆_百度百科	
且试天下（重小烟、土豆沙演唱歌曲）的中文名	且试天下	0	且试天下_百度百科	
上龙井自然村的面积	1.04平方公里	1	1.04平方千米	来自百度百科
M·艾迪尼的职业	运动员 足球	0	M·艾迪尼_百度百科	
Access 2000图解快易通的出版社	中国电力出版社	0	[ISO9001:2008标准图解快易通] 图书价格_书籍图片_网购评论_孔夫...	
attos的中文名	attos	1	爱徒奢华之家	来自百度百科
1,2-二氯戊烷的中文名	1,2-二氯戊烷	0	1,2-二氯戊烷_百度百科	
FAG 30315-A轴承的系列	圆锥滚子轴承	0	FAG 30315-A轴承_百度百科	
上降乡的中文名	上降乡	0	上降乡_百度百科	
boldo的出生日期	1978.11.16	1	1978年11月16日	来自百度百科
一言难尽（张宇演唱歌曲）的歌曲原唱	<a>张宇（中国台湾男歌手）</a>	0	一言难尽_百度百科	
Q味果冻沙拉的口味	甜	1	甜	来自百度百科
seaman的定义	水手；舵手、海员	0	seaman_百度百科	
21世纪高职高专机械类专业规划教材：冶炼机械设备的出版社	<a>人民邮电出版社</a>	0	21世纪高职高专规划教材·机械基础系列：机械基础_百度百科	
上下毡自然村的海拔	1700米	1	1700米	来自百度百科
NACHI 7005CDT轴承的品牌	NACHI	0	NACHI 7005CDT轴承_百度百科	
DJ旧时光的中文名	DJ旧时光	0	DJQ旧时光的微博_微博	
上海汤革实业有限公司的总部地点	上海	1	上海	来自百度百科
tasco观鸟镜的中文名	tasco观鸟镜	0	tasco观鸟镜_百度百科	
E·皮里斯的身高	182厘米	1	182厘米	来自百度百科
Sadovoye Koltso Serpukhovskaya Apartments的酒店星级	3星级	1	三星级	来自百度百科
ROTC的国别	美国	1	美国	来自百度百科
2014年中国电子展的主题	促进工业转型升级、加快新一代信息技术发展	0	2014年中国电子展_百度百科	
